# глаголица
ⰟⰉ Ы
ⱏⰹ ы
Ⰰ А
ⰰ а
Ⰱ Б
ⰱ б
Ⰲ В
ⰲ в
Ⰳ Г
ⰳ г
Ⰴ Д
ⰴ д
Ⰵ Е
ⰵ е # / э (ну тут просто е сделай, но буква и то и то значит)
Ⱖ Ё
ⱖ ё
Ⰶ Ж
ⰶ ж
Ⰸ З
ⰸ з
Ⰻ И
ⰻ и
Ⰺ Й
ⰺ й
Ⰽ К
ⰽ к
Ⰾ Л
ⰾ л
Ⰿ М
ⰿ м
Ⱀ Н
ⱀ н
Ⱁ О
ⱁ о
Ⱂ П
ⱂ п
Ⱃ Р
ⱃ р
Ⱄ С
ⱄ с
Ⱅ Т
ⱅ т
Ⱆ У
ⱆ у
Ⱇ Ф
ⱇ ф
Ⱈ Х
ⱈ х
Ⱌ Ц
ⱌ ц
Ⱍ Ч
ⱍ ч
Ⱎ Ш
ⱎ ш
Ⱋ Щ
ⱋ щ
Ⱏ Ъ
ⱏ ъ
Ⱐ Ь
ⱐ ь
Ⱓ Ю
ⱓ ю
Ⱔ Я
ⱔ я
Ⱑ Ѣ
ⱑ ѣ
Ⱚ Ѳ
ⱚ ѳ
Ⰹ I
ⰹ i
Ⱛ Ѵ
ⱛ ѵ
# эти символы переделаны в старославянскую кириллицу
#Ⱕ Я
#ⱕ я
#Ⱗ Я
#ⱗ я
# старославянская кириллица
Ⱘ Ѫ
ⱘ ѫ
Ⱙ Ѭ
ⱙ ѭ
Ⰷ Ѕ
ⰷ ѕ
Ⱝ Ꙗ
ⱝ ꙗ
Ⱉ Ѡ
ⱉ ѡ
Ⰼ Ђ
ⰼ ђ
Ⱕ Ѧ
ⱕ ѧ
Ⱗ Ѩ
ⱗ ѩ
# ещё символы
Ⱞ М
ⱞ м
Ⱊ П
ⱊ п
Ⱒ Х
ⱒ х
Ⱜ И
ⱜ и
